text,label
"Breaking: The President resigns after corruption scandal!","Fake News"
"Scientists discover water on Mars, NASA confirms.","Real News"
"Elections rigged! Secret documents leaked by an insider.","Fake News"
"COVID-19 vaccine proves 95% effective in new trials.","Real News"
"Click here to win a million dollars instantly!","Fake News"
"Government announces tax cut for middle-class families.","Real News"
"Scientists say AI will surpass human intelligence by 2040.","Real News"
"Man claims to have seen aliens near his farm.","Fake News"
"NASA denies rumors about secret Mars missions.","Real News"
"Economists predict stock market crash next month.","Fake News"
"Fake pharma company caught selling unapproved drugs.","Fake News"
"New study reveals benefits of meditation on brain health.","Real News"
"Conspiracy theorist claims the moon landing was faked.","Fake News"
"Experts warn against rising misinformation online.","Real News"
"Researchers develop new cancer treatment with 90% success rate.","Real News"
"Scientists discover cure for cancer!","Real News"
"New energy source discovered in the Pacific Ocean.","Real News"
"Political leaders accused of corruption in shocking new report.","Fake News"
"Shocking UFO sighting over Washington!","Fake News"
"NASA plans to send humans to Mars in 2035.","Real News"
